epoch,test_loss,test_acc,test_precision,test_recall,test_f1,test_auc,optimal_threshold
0,0.66888964,0.9039475875853645,0.0,0.0,0.0,0.4998581793429733,0.35
1,0.6203077,0.9039475875853645,0.0,0.0,0.0,0.5001581447168204,0.35
2,0.6090388,0.9039475875853645,0.0,0.0,0.0,0.5028268279911902,0.35
3,0.6020883,0.9039475875853645,0.0,0.0,0.0,0.4995889225177347,0.35
4,0.5966556,0.9039475875853645,0.0,0.0,0.0,0.49912021462282696,0.35
5,0.5919703,0.9039475875853645,0.0,0.0,0.0,0.4998531156678449,0.35
6,0.5879912,0.9039475875853645,0.0,0.0,0.0,0.4983823553965545,0.35
7,0.5843438,0.9039475875853645,0.0,0.0,0.0,0.5008481930592603,0.35
8,0.58136564,0.9039475875853645,0.0,0.0,0.0,0.5013375279805627,0.35
9,0.57886106,0.9039475875853645,0.0,0.0,0.0,0.5010537949796046,0.35
10,0.5766863,0.9039475875853645,0.0,0.0,0.0,0.501537920235571,0.35
11,0.57497174,0.9039475875853645,0.0,0.0,0.0,0.49979104018160386,0.35
12,0.57332844,0.9039475875853645,0.0,0.0,0.0,0.5022567467089215,0.35
13,0.5722207,0.9039475875853645,0.0,0.0,0.0,0.49916714284684405,0.35
14,0.571185,0.9039475875853645,0.0,0.0,0.0,0.49821808368306386,0.35
