epoch,test_loss,test_acc,test_precision,test_recall,test_f1,test_auc,fixed_threshold
0,0.8509017,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.4999789811083742,0.3
1,0.831625,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.5005043866793929,0.3
2,0.8103144,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.49843292258704835,0.3
3,0.787803,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.5007341444032075,0.3
4,0.76521266,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.5007624489528625,0.3
5,0.74361557,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.5027697999026004,0.3
6,0.7242007,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.500756785332907,0.3
7,0.7085746,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.4980169705265818,0.3
8,0.69499403,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.4983704028357882,0.3
9,0.6834239,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.5009151789046338,0.3
10,0.67386496,0.0788985434826865,0.0788985434826865,1.0,0.14625757715457074,0.4982042336291721,0.3
11,0.665877,0.07891242388910481,0.07889963864173712,1.0,0.14625945883356956,0.4983258712039786,0.3
12,0.65899074,0.08064284788925287,0.07892321172756228,0.9982993695939012,0.14628173207676065,0.5044829012452551,0.3
13,0.65374756,0.09730627579442193,0.07882168430166131,0.9770121683037678,0.14587474061167488,0.4970540487214896,0.3
14,0.64919174,0.1407241870708641,0.07905961041716061,0.9288374138689341,0.145716322822512,0.5004018823935212,0.3
15,0.64525056,0.2018673773434753,0.07928972944007058,0.8590236035771881,0.14517911387073276,0.5021709093643444,0.3
16,0.6419914,0.2739298206651491,0.07859606838894329,0.7649318281776866,0.14254569297598557,0.497052316478205,0.3
17,0.63889813,0.34533294468195364,0.07889358130972685,0.6835947808239261,0.14146115036542412,0.497672768244389,0.3
18,0.6359272,0.409275350248922,0.07895498074083096,0.6082392611054097,0.1397669428002574,0.5009881824743007,0.3
19,0.6335002,0.4472290081986934,0.07889694756923886,0.5626447734936226,0.13838836582876882,0.4980646300643279,0.3
20,0.63113916,0.49161392112227714,0.07918072026982918,0.5121243219469286,0.1371555112313449,0.5000637372371609,0.3
21,0.6290441,0.5196107008679881,0.0790727230393108,0.4779651077554611,0.13569635848279135,0.5017394703971827,0.3
22,0.6272606,0.5340255029333926,0.07880679672750157,0.45896496114939156,0.13451639238602672,0.5003306455315817,0.3
23,0.6255965,0.5465410027205596,0.07814885645352079,0.4397302448321361,0.1327121163852607,0.4978165931879897,0.3
24,0.62390953,0.5669266929469028,0.0789619875803728,0.42093534672335436,0.13297887121724392,0.4987470109731571,0.3
25,0.6223053,0.5811402291192419,0.07921818358826932,0.4056003518545668,0.13254824552998218,0.4996879242121629,0.3
26,0.62075526,0.592570743804712,0.0796421932535313,0.39445829057322973,0.1325268565630495,0.5019637430091819,0.3
27,0.6194673,0.6025091148002146,0.07967281162251251,0.3827004838000293,0.13188834154351395,0.5010789621113597,0.3
